6039	31
6037	38
6033	38
6032	23
6031	24
6029	37
6028	11
6027	27
6026	32
6025	49
6024	53
6022	48
6021	30
6020	48
6019	27
6016	11
6014	28
6011	38
6007	30
6004	8
6003	28
6000	47
5995	46
5992	11
5991	29
5987	18
5985	43
5984	26
5981	48
5980	53
5979	12
5978	50
5976	10
5974	23
5971	46
5969	27
5966	38
5963	46
5960	41
5959	5
5958	28
5955	41
5953	52
59	28
5950	23
5949	2
5948	6
5947	31
5946	54
5945	8
5944	50
5943	11
5936	25
5934	50
5932	51
5931	38
5929	25
5928	43
5925	23
5924	5
5917	34
5914	19
5912	18
5908	11
5907	21
5904	54
5903	34
5902	49
5901	25
5899	43
5898	38
5896	10
5895	53
5894	28
5891	24
5890	13
5888	33
5887	46
5886	25
5885	46
5884	15
5883	49
5876	7
5874	21
5870	55
5867	45
5866	51
5864	37
85	27
5862	34
5859	8
5856	16
5852	1
5851	31
5849	28
5847	31
5845	45
5844	53
5841	23
5840	31
5838	35
5836	46
5835	23
5834	11
14	47
5831	18
5830	52
5829	10
5826	14
5825	47
5823	46
5822	37
5818	32
5817	51
5815	11
5814	45
5813	35
5812	25
5807	23
5805	5
5804	33
5803	34
5801	50
5800	21
5798	32
5795	38
5794	52
5791	47
5788	10
5787	52
5786	2
5784	48
5780	7
5779	47
5772	7
5771	38
5770	12
5768	40
22	19
5764	19
5762	46
5760	53
5758	46
5757	9
5756	24
5755	36
5754	2
5753	2
5752	49
5751	33
5747	44
5744	42
5743	2
5742	35
41	19
5738	39
5737	46
5736	8
5727	41
5725	40
5722	21
5720	36
5718	11
5717	47
5714	25
5712	11
5711	49
5710	28
5707	37
5705	21
5702	8
5701	43
5700	4
5699	39
5698	2
5697	19
5708	4
5694	30
5692	10
5767	8
5691	44
5689	34
5687	55
5684	51
5683	46
5681	46
5680	11
5678	21
5677	1
5676	12
5675	6
5673	39
5672	45
5667	25
5664	39
5662	19
5660	9
5657	43
5656	47
5655	11
5654	14
5651	26
5648	47
5646	40
5645	4
5643	18
5642	52
5641	10
5636	50
5635	52
5631	23
5629	31
5627	3
5626	52
5624	33
5622	19
5621	8
5620	46
5619	21
5617	55
5614	31
5613	52
5612	18
5610	32
5608	36
5607	34
5606	54
5602	5
5601	55
5598	53
5597	21
5596	5
5595	12
5592	21
5591	1
5590	27
5589	50
5587	36
5586	44
5584	12
5583	8
5579	2
5577	42
5576	11
5575	19
5573	16
5571	42
5569	19
5568	53
5564	21
5563	10
5562	39
5561	18
5560	47
5559	49
5557	47
5555	47
5553	37
5551	10
5550	28
5548	11
5547	6
5546	54
5543	51
6006	41
5541	45
5540	35
5539	25
5535	46
5533	49
5532	3
5531	43
5529	46
5527	45
5526	11
5524	34
5522	22
5515	9
5513	50
5512	45
5511	47
5510	52
5508	43
5506	51
5505	17
5503	46
5502	27
5500	46
5499	28
5496	48
5495	18
5493	8
5489	48
5488	42
5484	4
5483	42
5482	53
5480	29
5479	9
5478	26
5477	30
5472	4
5776	24
5470	38
5467	31
5462	31
5459	42
5454	48
5453	45
5452	19
5449	31
5448	48
5447	31
5446	9
5580	32
5445	33
5440	21
5439	50
5437	26
5434	27
5429	54
5428	43
5425	41
5422	24
5421	54
5418	25
5417	12
5415	27
5414	23
5413	49
5412	12
5411	19
5525	31
5409	10
5407	25
5406	11
5405	9
5397	7
5396	2
5395	49
5394	9
5392	53
5391	34
5390	38
5387	35
5385	16
5384	30
5383	27
5382	11
5381	49
5380	38
5379	34
5377	54
32	2
5374	7
5372	3
5370	31
5365	15
5364	41
5358	46
5357	38
5940	11
5356	51
5355	50
5351	5
5350	3
5843	55
5348	53
5344	19
5474	2
5342	39
5341	4
5339	53
5338	4
5333	10
5332	46
5330	18
5329	45
5328	46
5325	43
5318	22
5315	51
5314	36
5313	34
5308	34
5307	32
38	29
5303	39
5302	36
5301	53
5298	10
5297	17
5632	30
5296	11
5331	49
5293	15
5292	42
5291	11
5290	18
5286	16
5284	51
5283	42
5282	19
5281	41
25	41
5279	7
5277	16
5273	38
5271	25
5942	18
5270	2
5269	37
5268	31
5266	26
5262	4
5261	28
5260	24
5258	36
5255	52
5253	49
5252	40
5250	6
5247	43
5245	54
5244	11
5243	32
5242	3
5240	26
5237	38
5234	39
5630	18
5232	15
5231	1
5230	34
5229	48
5226	54
5222	6
5219	46
5218	48
5792	11
5287	10
5216	1
5215	34
5210	37
5209	23
5206	38
5205	35
5204	22
5202	50
5200	24
5198	39
5197	41
5196	43
5398	17
5194	45
5191	7
5327	10
5186	1
5184	53
5183	41
5182	26
5181	41
5179	24
5178	39
5802	18
5177	31
5174	7
5173	38
5172	48
5740	10
5171	2
5360	54
5170	11
5168	4
5167	34
5166	40
5163	18
5162	46
5161	32
5227	34
5159	11
5157	12
5156	24
5155	2
5153	32
5152	2
5151	11
5148	11
82	13
5146	50
5145	50
5144	34
5140	17
5136	43
5132	28
5131	45
5129	35
5128	37
5125	40
5124	50
5123	31
5122	43
5121	34
5119	12
5118	38
5117	14
5114	39
5110	46
5109	3
5107	31
5105	18
5104	43
5102	22
5100	10
5097	5
5096	33
5095	31
5321	26
5094	50
5090	2
5088	11
5087	30
5085	40
5084	12
5082	41
5872	30
5078	44
5077	17
5076	31
5072	38
5071	17
5069	2
5066	50
5064	19
5063	24
5061	7
5060	47
5059	8
5239	11
5058	54
5057	10
5363	22
5054	50
5052	19
5335	27
5047	8
5046	41
5045	52
5042	11
5041	31
5038	41
5037	5
5492	46
5035	29
5032	10
13	7
5030	18
5026	34
5025	52
5023	45
5021	30
5017	31
5016	30
5015	26
5014	46
5013	33
5011	38
5009	10
5008	45
5007	12
5004	2
