6039	53
6037	5
6033	5
6032	25
6031	15
6029	1
6028	42
6027	50
6026	35
6025	16
6024	47
6022	13
6021	48
6020	25
6019	50
6016	50
6014	3
6011	31
6007	14
6004	41
6003	13
6000	33
5995	17
5992	16
5991	8
5987	44
5985	18
5984	13
5981	50
5980	2
5979	20
5978	38
5976	50
5974	2
5971	13
5969	51
5966	31
5963	36
5960	36
5959	3
5958	2
5955	9
5953	36
5950	17
5949	36
5948	9
5947	36
5946	15
5945	39
5944	15
5943	25
5936	54
5934	52
5932	50
5931	44
5929	37
5928	55
5925	41
5924	7
5917	48
5914	10
5912	20
5908	30
5907	42
5904	22
5903	18
5902	17
5901	1
5899	31
5898	21
5896	8
5895	44
5894	36
5891	9
5890	33
5888	48
5887	10
5886	18
5885	36
5884	31
5883	2
5876	21
5874	42
5870	2
5867	23
5866	44
5864	27
5863	22
5862	30
5859	37
5856	17
5852	9
5851	36
5849	28
5847	47
5845	20
5844	47
5841	21
5840	7
5838	19
5836	13
5835	8
5834	54
5831	34
5830	36
5829	45
5826	20
5825	42
5823	13
5822	37
5818	14
5817	51
5815	16
5814	1
5813	22
5812	37
5807	32
5805	2
5804	37
5803	40
5801	48
5800	32
5798	7
5795	23
5794	10
5791	36
5788	46
5787	10
5786	37
5784	32
5783	38
5780	10
5779	20
5772	10
5771	7
5770	2
5768	36
5765	45
5764	9
5762	9
5760	7
5758	9
5757	3
5756	46
5755	23
5754	37
5753	36
5752	38
5751	19
5747	12
5744	20
5743	47
5742	18
5738	38
5737	32
5736	12
5727	13
5725	20
5722	9
5720	28
5718	34
5717	50
5714	31
5712	39
5711	19
5710	22
5707	32
5705	23
5702	2
5701	31
5700	17
5699	25
5698	36
5697	32
5708	37
5694	23
5692	2
5767	50
5691	27
5689	21
5687	20
5684	27
5683	36
5681	13
5680	7
5678	25
5677	26
5676	3
5675	10
5673	5
5672	37
5667	16
5665	45
5664	19
5662	48
5660	39
5657	2
5656	13
5655	6
5654	35
5651	15
5648	32
5646	48
5645	38
5643	39
5642	47
5641	34
5636	53
5635	36
5631	19
5629	47
5627	16
5626	10
5624	22
5622	13
5621	22
5620	36
5619	17
5617	45
5614	36
5613	53
5612	23
5610	28
5608	19
5607	29
5606	45
5833	38
5605	35
5602	23
5601	36
5598	27
5597	47
5596	14
5595	46
5592	41
5591	7
5590	31
5589	35
5587	31
5586	48
5584	46
5583	23
5579	47
5577	9
5576	25
5575	40
5573	20
5571	53
5569	20
5568	54
5564	9
5563	7
5562	42
5561	17
5560	45
5559	52
5557	14
5555	22
5553	32
5551	41
5550	14
5548	35
5547	15
5546	53
5543	42
6006	19
5541	1
5540	41
5539	37
5535	36
5533	17
5532	5
5531	33
5529	36
5527	37
5526	21
5524	25
5522	40
5515	35
5513	40
5512	31
5511	13
5510	10
5508	55
5506	46
5505	37
5503	47
5502	23
5500	36
5499	44
5496	53
5495	34
5493	41
5489	13
5488	42
5962	9
5486	16
5484	2
5483	13
5482	36
5480	14
5479	20
5478	26
5477	52
5472	16
5776	53
5470	52
5467	36
5462	3
5459	37
5454	13
5453	5
5452	17
5449	2
5448	34
5447	34
5446	48
5580	19
5445	18
5440	15
5439	46
5437	25
5434	36
5429	16
5428	41
5425	3
5422	27
5421	53
5418	26
5417	5
5415	5
5414	28
5413	50
5412	2
5411	36
5525	36
5409	20
5407	16
5406	5
5405	17
5397	38
5396	36
5395	45
5394	36
5392	20
5391	6
5390	16
5387	26
5385	27
5384	48
5383	34
5382	47
5381	31
5380	52
5379	29
5377	42
5375	47
5374	29
5372	19
5370	50
5365	53
5364	13
5358	13
5357	5
5940	30
5356	50
5355	19
5351	7
5350	19
5843	1
5348	23
5344	36
5474	9
5342	5
5341	17
5339	41
5338	17
5333	19
5332	3
5330	20
5329	31
5328	36
5325	28
5318	1
5315	31
5314	38
5313	15
5308	13
5307	18
5303	8
5302	34
5301	41
5298	9
5297	16
5632	17
5296	41
5331	50
5293	9
5292	9
5291	44
5290	15
5286	10
5284	44
5283	17
5282	10
5281	9
5280	10
5279	38
5277	20
5273	26
5271	36
5942	40
5270	37
5269	39
5268	9
5266	27
5262	25
5261	6
5260	36
5258	38
5255	13
5253	39
5252	37
5250	2
5247	3
5245	54
5244	38
5243	45
5242	48
5240	54
5237	41
5234	50
5630	50
5232	21
5231	9
5230	1
5229	3
5226	25
5222	9
5219	9
5218	36
5792	50
5287	21
5216	9
5215	8
5210	47
5209	45
5206	23
5205	50
5204	32
5202	39
5200	17
5198	20
5197	36
5196	54
5398	6
5194	28
5191	31
5327	30
5186	47
5184	47
5183	9
5182	33
5181	13
5179	55
5178	2
5802	52
5177	33
5175	19
5174	10
5173	23
5172	25
5740	42
5171	53
5360	28
5170	28
5168	25
5167	34
5166	9
5163	45
5162	21
5161	50
5227	8
5159	19
5157	13
5156	23
5155	47
5153	45
5152	10
5151	45
5148	31
5147	36
5146	5
5145	28
5144	8
5140	18
5136	32
5132	10
5131	14
5129	2
5128	52
5125	17
5124	23
5123	37
5122	25
5121	53
5119	47
5118	23
5117	30
5114	31
5110	28
5109	16
5107	9
5105	47
5104	24
5102	20
5100	16
5097	10
5096	36
5095	36
5321	15
5094	18
5090	13
5088	23
5087	1
5085	20
5084	2
5082	10
5872	1
5078	45
5077	21
5076	28
5072	2
5071	16
5069	9
5066	41
5064	20
5063	14
5061	38
5060	2
5059	23
5239	8
5058	22
5057	23
5363	13
5054	23
5052	16
5335	28
5047	28
5046	36
5045	47
5042	54
5041	36
5038	36
5037	28
5492	36
5035	27
5032	7
5031	32
5030	46
5026	44
5025	13
5023	18
5021	47
5017	50
5016	9
5015	53
5014	13
5013	10
5011	25
5009	15
5008	28
5007	37
5004	10
5002	21
4999	17
4998	52
4996	20
4995	15
4993	36
4991	29
4989	23
4987	21
4986	3
4985	19
4984	9
4983	53
4982	37
4981	31
4980	36
4979	9
4978	36
4974	1
4973	50
4972	47
5713	42
4971	10
4969	32
4967	18
4965	53
4964	10
4963	36
4962	44
5761	47
4961	20
4960	52
4959	7
4958	25
4957	41
4956	36
4953	48
4951	52
4949	47
4948	31
4947	37
4946	37
4944	39
4941	17
4934	42
4932	1
4931	53
4930	6
5450	9
4925	18
4924	34
4918	21
4917	10
4916	37
4915	48
4913	3
4912	31
4906	39
4904	37
4914	13
4903	37
4902	8
4899	31
4898	9
4897	2
4895	14
4893	55
4892	32
4891	46
4890	35
4889	36
4886	13
4882	22
4881	3
4879	23
5806	14
5386	36
4876	2
4875	2
4873	15
4872	15
4871	40
4870	6
4869	28
4867	21
4866	9
5251	50
4860	2
4859	46
4858	54
4857	47
4855	5
4854	17
4853	37
5827	1
5130	10
4852	19
4847	33
4846	23
4845	55
6008	23
4841	37
4840	37
4839	40
4838	6
4836	12
4835	42
4833	25
4831	36
4830	50
4829	16
4827	17
4826	33
4825	47
4823	37
4822	36
5034	39
4820	25
4819	31
4818	21
4817	37
4813	13
4810	18
4808	36
4807	13
4804	27
4803	25
4802	33
4800	41
4798	42
5288	9
4791	7
4790	25
4787	38
5726	33
4786	31
4785	36
4784	28
4782	16
4779	5
4777	40
4773	22
4771	17
4770	2
5769	15
4768	33
4767	44
4765	42
4764	1
4763	20
4843	52
4761	3
4760	31
4757	8
4756	47
4754	21
4753	16
5507	47
